wrow,wcol,rlu,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
A,1,4746000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,12.40403943,FALSE
A,2,3906000,NA,1,x,Mouse 1,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,27.90908873,FALSE
A,3,3809000,NA,1,x,Mouse 1,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,29.69955275,FALSE
A,4,4282000,NA,1,x,Mouse 2,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,20.96873333,FALSE
A,5,5383000,NA,1,x,Mouse 2,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,0.64604372,FALSE
A,6,3994000,NA,1,x,Mouse 3,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,26.28475023,FALSE
A,7,5236000,NA,1,x,Mouse 3,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.35942735,FALSE
A,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
A,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
A,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
A,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
A,12,480,NA,1,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.99870791,FALSE
B,1,5631000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.93163750,FALSE
B,2,5145000,NA,1,x,Mouse 1,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,5.03914102,FALSE
B,3,5841000,NA,1,x,Mouse 1,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.80789982,FALSE
B,4,5264000,NA,1,x,Mouse 2,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,2.84259237,FALSE
B,5,5564000,NA,1,x,Mouse 2,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.69492523,FALSE
B,6,5406000,NA,1,x,Mouse 3,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,0.22150070,FALSE
B,7,6087000,NA,1,x,Mouse 3,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-12.34866426,FALSE
B,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
B,12,1380,NA,1,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.98209536,FALSE
C,1,5018000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,7.38335681,FALSE
C,2,5254000,NA,1,x,Mouse 1,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.02717629,FALSE
C,3,5944000,NA,1,x,Mouse 1,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-9.70911420,FALSE
C,4,4839000,NA,1,x,Mouse 2,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,10.68740898,FALSE
C,5,5499000,NA,1,x,Mouse 2,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-1.49512975,FALSE
C,6,5799000,NA,1,x,Mouse 3,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.03264736,FALSE
C,7,5410000,NA,1,x,Mouse 3,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,0.14766714,FALSE
C,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
C,12,1010,NA,1,m,mAb (4F8),2000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.98892496,FALSE
D,1,5418000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,0.00000000,FALSE
D,2,5202000,NA,1,x,Mouse 1,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.98701268,FALSE
D,3,5730000,NA,1,x,Mouse 1,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-5.75901831,FALSE
D,4,6804000,NA,1,x,Mouse 2,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-25.58333133,FALSE
D,5,6248000,NA,1,x,Mouse 2,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-15.32046537,FALSE
D,6,5860000,NA,1,x,Mouse 3,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-8.15860927,FALSE
D,7,6005000,NA,1,x,Mouse 3,320,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-10.83507611,FALSE
D,8,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,9,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,10,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,11,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
D,12,79350,NA,1,m,mAb (4F8),4000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,98.54289453,FALSE
E,1,5621000,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.74705358,FALSE
E,2,5826000,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.53102394,FALSE
E,3,5777000,NA,1,x,Mouse 1,640,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-6.62656273,FALSE
