machine_id,sequence_id,wrow,wcol,scan_position,tag,rlu,rlu.rq,timestamp,filename,plate_number,types,sample_id,dilution,bleed,treatment,virus,experiment_id,neutralisation,exclude
1234567,0,A,1,NA,NA,4746000,ValidSlopeSaturation,NA,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,12.4040394345087,FALSE
1234567,0,A,2,NA,NA,3906000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,27.9090887276446,FALSE
1234567,0,A,3,NA,NA,3809000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,29.6995527531615,FALSE
1234567,0,A,4,NA,NA,4282000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,20.9687333297647,FALSE
1234567,0,A,5,NA,NA,5383000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,0.646043720547328,FALSE
1234567,0,A,6,NA,NA,3994000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,26.2847502302684,FALSE
1234567,0,A,7,NA,NA,5236000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,40,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.35942734684611,FALSE
1234567,0,A,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,A,12,NA,NA,480,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),500,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.9987079125589,FALSE
1234567,0,B,1,NA,NA,5631000,ValidSlopeSaturation,NA,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,-3.93163749933088,FALSE
1234567,0,B,2,NA,NA,5145000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,5.03914102026916,FALSE
1234567,0,B,3,NA,NA,5841000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.80789982261485,FALSE
1234567,0,B,4,NA,NA,5264000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,2.84259237040824,FALSE
1234567,0,B,5,NA,NA,5564000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-2.69492523428314,FALSE
1234567,0,B,6,NA,NA,5406000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,0.221500704187655,FALSE
1234567,0,B,7,NA,NA,6087000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,80,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-12.3486642584618,FALSE
1234567,0,B,8,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,9,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,10,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,11,NA,NA,NA,ValidSlopeSaturation,NA,NA,1,,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,NA,TRUE
1234567,0,B,12,NA,NA,1380,ValidSlopeSaturation,NA,NA,1,m,mAb (4F8),1000,terminal,mAb (4F8),A/swine/Guangxi/1/2013 (H1N1),EX001,99.9820953597448,FALSE
1234567,0,C,1,NA,NA,5018000,ValidSlopeSaturation,NA,NA,1,v,,NA,terminal,NA,A/swine/Guangxi/1/2013 (H1N1),EX001,7.38335680625518,FALSE
1234567,0,C,2,NA,NA,5254000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,3.02717629056462,FALSE
1234567,0,C,3,NA,NA,5944000,ValidSlopeSaturation,NA,NA,1,x,Mouse 1,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-9.70911420022556,FALSE
1234567,0,C,4,NA,NA,4839000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,10.6874089770544,FALSE
1234567,0,C,5,NA,NA,5499000,ValidSlopeSaturation,NA,NA,1,x,Mouse 2,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-1.49512975326667,FALSE
1234567,0,C,6,NA,NA,5799000,ValidSlopeSaturation,NA,NA,1,x,Mouse 3,160,terminal,PBS,A/swine/Guangxi/1/2013 (H1N1),EX001,-7.03264735795806,FALSE
